entry,pdb_code
P85168,null
P85169,null
P85278,null
P86166,null
P86255,null
P86258,null
P86260,null
P86262,null
P86295,null
P86297,null
P86298,null
P86299,null
P86300,null
P86301,null
P86302,null
P86303,null
P86304,null
P86305,null
P86309,null
P86311,null
P86407,null
P86426,null
P86427,null
P86428,null
P86721,null
Q2ES46,null
Q2ES47,null
Q3SAF3,null
Q3SAF6,null
Q3YEE8,null
Q3YEE9,null
Q3YEH5,null
Q3YEH7,null
Q5G8B5,null
Q5I4E6,null
Q5WR03,null
Q66S08,null
Q6PN83,null
Q6PN84,null
Q7LZF5,null
Q9BPH1,null
Q9TWD3,null
Q9TWH3,null
Q9Y0X4,null
R4JJN6,null
R4JNJ5,null
R4JQZ0,null
U5KJC9,null
U5KJJ1,null
U5KJM6,null
U5KJT7,null
U5KJZ2,null
V5V893,null
A0A023VZF1,null
A0A023VZM6,null
A0A023W082,null
A0A023W090,null
A0A023W0C3,null
A0A023W0U0,null
A0A023W0V9,null
A0A023W0W9,null
A0A023W123,null
A0A023W163,null
A0A023W168,null
A0A0E3SVB8,null
A0A0F7YZI5,null
A0A0F7Z3J2,null
A0A1D3IY23,null
A0A1E1WVR9,null
A0A218QWY8,null
A0A2I6EDL3,null
A0A2I6EDM1,null
A0A2I6EDM9,null
A0A2I6EDN0,null
A0A2I6EDN3,null
A0A2I6EDN8,null
A0A3G1VU73,null
A0A5H1ZR48,6NW8
A0A8U0LTF0,null
A0A8U0LTF5,null
A0A8U0LTY4,null
A8S6B3,null
B1P1J4,null
B2CS62,null
B3EWT6,null
B3EWT7,null
B3EWT8,null
B3EWT9,null
B3EWU0,null
B3EWU4,null
B3EWU5,null
B3EWU6,null
B3EWU7,null
B3EWU8,null
B3EWU9,null
B3EWV0,null
B3EWV3,null
B3EWW2,null
B3EWX1,null
B3EWX2,null
B3EWX3,null
B3EWX4,null
B3FIA6,null
B8K1V9,null
B8XH22,null
B8XH50,null
C0HJW4,null
C0HKY2,null
C0HKY3,null
C0HKY4,null
C0HKY5,null
C0HKY7,null
C0HKY8,null
C0HKY9,null
C0HKZ0,null
C0KYC3,null
C0KYC4,null
C0KYC5,null
C0KYC6,null
C5J891,null
C5J895,null
C5J897,null
C6ZH25,null
C7DQB8,null
C7DQB9,null
C7DQC0,null
C7DQC1,null
C7DQC2,null
C7DQX7,null
C7DQX8,null
C7DQX9,null
C7T1P1,null
C7T1P2,null
C7T1P3,null
C7T1P4,null
C9X4J0,null
D2CFI7,null
D2DGD6,null
D2DGD8,null
D2DGD9,null
D2Y2C0,null
D2Y2E0,null
D2Y2E1,null
D2Y2E2,null
D2Y2E3,null
D2Y2E4,null
D2Y2E5,null
D2Y2E6,null
D2Y2E7,null
D2Y488,null
D2Y489,null
D2Y490,null
D2Y491,null
D5L5Q8,null
D9U2B5,null
D9U2B7,null
D9U2B8,null
E2DIH6,null
F1CJ89,null
F5CPE8,null
H2CYP1,null
H2CYR5,null
K7WMX6,null
L0G8Z0,null
L0GB04,null
L0GCJ1,null
L0GCJ6,null
L0GCW2,null
M1E1F0,4B2U
M1E1F1,4B2V
P0C1X3,null
P0C1X4,null
P0C255,null
P0C2U9,null
P0C636,null
P0C637,null
P0C638,null
P0C639,null
P0C640,null
P0C641,null
P0C666,null
P0C667,null
P0C668,null
P0C669,null
P0C670,null
P0C7K4,null
P0C7K6,null
P0C7S8,null
P0C845,null
P0C846,null
P0C847,null
P0C848,null
P0C850,null
P0C8A1,null
P0C8A4,null
P0C8A6,null
P0C8A7,null
P0C8A9,null
P0C8L3,null
P0C8W6,null
P0C8W7,null
P0C8W8,null
P0C8W9,null
P0C8X0,null
P0C8X1,null
P0C906,null
P0C907,null
P0CF77,null
P0CH19,null
P0CH58,null
P0CH74,null
P0CI07,null
P0CI20,null
P0CI89,null
P0CI90,null
P0CI93,null
P0CJ15,null
P0CV88,null
P0CV90,null
P0DJ96,null
P0DL07,null
P0DL22,null
P0DM16,null
P0DM17,null
P0DM18,null
P0DM19,null
P0DM20,null
P0DM34,null
P0DM54,null
P0DM56,null
P0DM57,null
P0DM98,null
P0DM99,null
P0DMA0,null
P0DMA1,null
P0DMA3,null
P0DMA4,null
P0DMB3,null
P0DME2,null
P0DME3,null
P0DME4,null
P0DME5,null
P0DME7,null
P0DME9,null
P0DMF0,null
P0DMF1,null
P0DMF2,null
P0DMF3,null
P0DMF4,null
P0DMF5,null
P0DMF6,null
P0DMF7,null
P0DMF8,null
P0DMF9,null
P0DMG0,null
P0DMI8,null
P0DMI9,null
P0DMJ0,null
P0DN46,null
P0DN47,null
P0DN60,null
P0DPG6,null
P0DPJ8,null
P0DPK7,null
P0DPK8,null
P0DPK9,null
P0DPL0,null
P0DPL1,null
P0DPL2,null
P0DPL3,null
P0DPL4,null
P0DPL5,null
P0DPL6,null
P0DPL7,null
P0DPM3,null
P0DPV7,null
P0DPW6,null
P0DQO8,null
P0DQU4,null
P0DUJ4,6SAA
P0DV64,null
P0DV80,null
P0DV81,null
P0DX65,null
P58396,null
P59866,null
P69766,null
P80163,null
P82656,null
P83086,null
P83087,null
P83717,null
P83718,null
P84521,null
P84524,null
P84683,null
P84691,null
P85029,null
P85030,null
P85038,null
P85042,null
P86107,null
P86109,null
P86111,null
P86114,null
P86117,null
P86118,null
P86263,null
P86446,null
P86468,null
P86821,null
P86824,null
P86825,null
P86826,null
Q09GK2,null
Q1A3Q2,null
Q1A3Q5,null
Q1A3Q6,null
Q1A3Q7,null
Q1A3Q8,null
Q1A3Q9,null
Q1A3R0,null
Q1A3R3,null
Q1ZYW0,null
Q1ZYW1,null
Q2ES48,null
Q2ES49,null
Q2ES50,null
Q2M591,null
Q2XXL8,null
Q3SAE5,null
Q3SAE6,null
Q3SAE7,null
Q3SAE8,null
Q3SAE9,null
Q3SAF0,null
Q3SAF1,null
Q3SAF2,null
Q3SAF4,null
Q3SAF5,null
Q3SAX8,null
Q3YEG9,null
Q3YEH0,null
Q3YEH3,null
Q3YEH4,null
Q3YEH6,null
Q45RU7,null
Q5G8A9,null
Q5G8B0,null
Q5G8B1,null
Q5G8B2,null
Q5G8B3,null
Q5G8B4,null
Q5G8B7,null
Q68IP5,null
Q6PN80,null
Q6PN81,null
Q6PN82,null
Q6PN85,null
Q6PN86,null
Q6PTD0,null
Q86RQ7,null
Q8I6X9,null
Q8N0N8,null
Q8QGP7,null
Q9BH21,null
Q9BH75,null
Q9BH86,null
Q9BPE7,null
Q9BPF1,null
Q9BPF2,null
Q9BPF3,null
Q9BPF6,null
Q9BPG0,null
Q9BPG5,null
Q9BPG7,null
Q9BPG8,null
Q9GQW4,null
Q9PS34,null
Q9TWR4,null
Q9U6Z5,null
Q9U6Z8,null
Q9U6Z9,null
Q9U700,null
Q9Y0X5,null
S4UKA9,null
W4VS82,null
W4VSE7,null
X5IFZ1,null
C0HJJ9,null
C9X4J1,null
D9U2B6,null
L0G8Z2,null
L0GCW8,null
P0CH76,null
P0CH78,null
P0CI06,null
P0CI09,null
P0CI10,null
P0CI17,null
P0CI94,null
P0CI95,null
P0CI96,null
P0CI97,null
P0CJ02,null
P0CJ04,null
P0CJ06,null
P0CJ16,null
P0CJ19,null
P0DQY4,null
P0DQY5,null
P86108,null
P86112,null
P86113,null
P86337,null
P86338,null
P86339,null
P86340,null
P86341,null
P86342,null
P86343,null
P86344,null
P86827,null
Q45RU8,null
